name;description;parent;lemma form;divide by;opencorpora tags;comments
post;чест молвы;aux;;;POST;
nmbr;число;aux;;;NMbr;
gndr;род;aux;;;GNdr;
PErs;особа;aux;;;PErs;
CAse;падеж;aux;;;CAse;
tantum;singularia/pluralia tantum;aux;;;tantum;TODO
Sgtm;singularia tantum;aux;;;Sgtm;TODO
Pltm;pluralia tantum;aux;;;Pltm;TODO
verb_noun;;aux;;;;TODO
tense;час;aux;;;TEns;
mood;спосіб;aux;;;MOod;
voice;стан или залог;aux;;;VOic;TODO
aspc;вид;aux;;;ASpc;
trns;категорія перехідності;aux;;;TRns;
forms;степені порівняння;aux;;;forms;
ANim;категория живости;aux;;;ANim;
indecl;не изменяется;aux;;;Fixd;
bad;искажение;aux;;;Dist;TODO: ведаjу
refl;;aux;;;Refl;
alt-m;алтернативна форма на -m;aux;;;alt-m;
alt-u;алтернативна форма на -ju;aux;;;alt-u;
alt-form;алтернативна форма именника;aux;;;alt-form;
anim;одушевлённое;ANim;;;anim;
inan;неодушевлённое;ANim;;;inan;
slang;сленг;aux;;;Slng;TODO: фунгуjе
unknown;ще неопрацьовані слова/форми;aux;;;unknown;Має зникнути взагалі
pers;особовий (займенник);aux;;;pers;
form-full;;aux;;;form-full;njego
form-regl;;aux;;;form-regl;jego
form-short;;aux;;;form-short;go
alt;альтернативний правопис;aux;;;alt;TODO
alt1;альтернативны форм 1;aux;;;alt1;
alt2;альтернативны форм 2;aux;;;alt2;
noun;именник;post;v_naz;anim,inanim;NOUN;
pron;заименник;post;v_naz;;NPRO;
verb;глагол;post;inf;perf,imperf;VERB;
adj;придавник;post;m,v_naz;;ADJF;
adjp;причастие;post;m,v_naz;;PRTF;
adv;присловник;post;;;ADVB;
advp;деjепричастие;post;;;GRND;
prep;прєдложник;post;;;PREP;
preposition;прєдложник;post;;;PREP;
num;числительное;post;;;NUMR;
sg;;NMbr;;;sing;
pl;;NMbr;;;plur;
singular;;NMbr;;;sing;
plural;;NMbr;;;plur;
nom;;CAse;;;nomn;
gen;;CAse;;;gent;
dat;;CAse;;;datv;
acc;;CAse;;;accs;
ins;;CAse;;;ablt;
loc;;CAse;;;loct;
voc;;CAse;;;voct;
m;мужскы;gndr;;;masc;
f;женскы;gndr;;;femn;
n;средни;gndr;;;neut;
v;глагол;post;;;VERB;
conj;;post;;;CONJ;
pf;доконане;aspc;;;perf;
ipf;недоконане;aspc;;;impf;
ipf/pf;недоконане или доконане;aspc;;;ipun;
tr;переходный глагол;TRns;;;tran;
intr;непереходный глагол;TRns;;;intr;
intj;междометие;post;;;INTJ;
prefix;;aux;;;prefix;?
phrase;;aux;;;phrase;?
aux;помочны глагол;aux;;;auxv;смогти быти стати
particle;;aux;;;particle;?
suffix;;aux;;;suffix;?
diff;тип числительного;aux;;;diff;пока не парсим числительные
subst;тип числительного;aux;;;subst;
mult;тип числительного;aux;;;mult;
coll;тип числительного;aux;;;coll;
fract;тип числительного;aux;;;fract;
ord;тип числительного;aux;;;ord;
card;тип числительного;aux;;;card;
poss;тип местоимения;aux;;;poss;пока не парсим местоимения
int;тип местоимения;aux;;;int;
indef;тип местоимения;aux;;;indef;
pers;тип местоимения;aux;;;pers;
rel;тип местоимения;aux;;;rel;
rec;тип местоимения;aux;;;rec;
dem;тип местоимения;aux;;;dem;
refl1;тип местоимения;aux;;;refl1;может быть тэгом глагола?
adjective;;;;;ADJF;
adverb;;;;;ADVB;
conjunction;;;;;conj;
pronoun;;;;;NPRO;
numeral;;;;;NUMR;
interjection;;;;;INTJ;
m/f;;;;;masc;костылище
ipf/pf;;;;;perf;костылище
req_case;требуjє падежа;aux;;;req_case;Наразі відсутний в OpenCorpora
(+1);потребує називного;req_case;;;rv_nomn;
(+2);потребує родового;req_case;;;rv_gent;
(+3);потребує давального;req_case;;;rv_datv;
(+4);потребує знахідного;req_case;;;rv_accs;
(+5);потребує орудного;req_case;;;rv_ablt;
(+6);потребує місцевого;req_case;;;rv_loct;
Abbr;аббревиатура;aux;;;Abbr;
past;минулий час;tense;;;past;
future;будучи час;tense;;;futr;
imperfect;минулий час;tense;;;imperfect;
1per;1-а особа;PErs;;;1per;
2per;2-а особа;PErs;;;2per;
3per;3-а особа;PErs;;;3per;
present;теперішній час;tense;;;pres;
impr;наказовий спосіб;mood;;;impr;
actv;активний;voice;;;actv;
pasv;пасивний;voice;;;pssv;
INFN;початкова форма дієслова;verb_type;;;infn;
V-be;одглаголно име;aux;;;V-be;
comparative;порівняльна форма;forms;;;COMP;
forms;степені порівняння;aux;;;forms;
positive;базова форма;forms;;;compb;
conditional;кондиционал;tense;;;cond;






